id;ville;annee;mois;temp_moy;temp_max_moy;temp_min_moy;precipitation_mm;ensoleillement_h
496;Paris;1958;4;12.8;18.8;8.4;37;159
497;Paris;1958;5;16.0;21.0;11.8;54;214
498;Paris;1958;6;19.0;24.5;13.4;67;227
499;Paris;1958;7;20.4;26.5;15.1;52;185
500;Paris;1958;8;23.2;28.4;18.6;62;210
501;Paris;1958;9;17.7;23.9;12.1;66;170
502;Paris;1958;10;13.2;18.6;9.0;61;114
503;Paris;1958;11;7.8;13.4;3.0;42;75
504;Paris;1958;12;5.7;11.9;0.7;51;42
505;Nantes;1958;1;6.1;12.0;1.4;101;76
506;Nantes;1958;2;7.5;13.0;3.3;77;90
507;Nantes;1958;3;9.0;15.1;4.4;66;119
508;Nantes;1958;4;12.6;18.7;7.5;45;168
509;Nantes;1958;5;14.2;18.8;9.2;71;237
510;Nantes;1958;6;19.0;24.5;14.7;53;178
511;Nantes;1958;7;20.1;25.1;14.7;51;256
512;Nantes;1958;8;20.6;25.6;14.9;43;253
513;Nantes;1958;9;16.6;22.7;11.9;49;151
514;Nantes;1958;10;13.6;19.4;9.5;107;115
515;Nantes;1958;11;9.2;15.0;4.4;96;66
516;Nantes;1958;12;7.4;13.9;2.0;80;66
517;Bordeaux;1958;1;6.3;12.1;0.8;87;74
518;Bordeaux;1958;2;7.6;13.1;3.6;55;87
519;Bordeaux;1958;3;10.0;15.1;4.2;71;176
520;Bordeaux;1958;4;14.3;18.9;8.7;51;174
521;Bordeaux;1958;5;16.9;22.4;11.9;56;240
522;Bordeaux;1958;6;19.8;25.4;14.7;66;249
523;Bordeaux;1958;7;23.0;29.4;17.2;48;256
524;Bordeaux;1958;8;21.8;27.0;16.8;67;203
525;Bordeaux;1958;9;17.9;24.0;13.2;56;157
526;Bordeaux;1958;10;14.4;19.7;8.6;99;145
527;Bordeaux;1958;11;9.2;15.2;4.3;68;99
528;Bordeaux;1958;12;6.7;12.6;2.4;83;65
529;Marseille;1958;1;7.3;12.2;1.5;55;172
530;Marseille;1958;2;10.3;15.2;5.2;41;159
531;Marseille;1958;3;12.5;18.3;6.7;31;182
532;Marseille;1958;4;16.1;21.9;10.3;30;232
533;Marseille;1958;5;18.5;24.4;13.6;21;326
534;Marseille;1958;6;23.8;29.3;19.5;18;288
535;Marseille;1958;7;26.1;31.9;21.2;5;409
536;Marseille;1958;8;25.4;30.1;19.8;19;338
537;Marseille;1958;9;22.5;27.0;17.7;57;203
538;Marseille;1958;10;17.7;23.6;12.7;66;183
539;Marseille;1958;11;13.3;18.4;8.6;53;123
540;Marseille;1958;12;9.5;14.2;3.8;72;137
541;Lille;1959;1;4.9;10.0;0.7;66;43
542;Lille;1959;2;4.7;10.0;0.7;51;80
543;Lille;1959;3;7.5;13.6;2.4;44;118
544;Lille;1959;4;10.8;17.0;5.4;50;160
545;Lille;1959;5;12.4;18.3;6.5;40;200
546;Lille;1959;6;16.8;22.7;12.8;63;174
547;Lille;1959;7;20.3;26.2;15.5;72;217
548;Lille;1959;8;20.1;26.1;15.5;53;179
549;Lille;1959;9;15.0;19.5;10.8;54;125
550;Lille;1959;10;10.7;15.7;6.2;48;90
551;Lille;1959;11;5.9;11.6;1.8;57;43
552;Lille;1959;12;5.0;9.5;-0.4;63;46
553;Paris;1959;1;4.5;10.3;0.5;65;67
554;Paris;1959;2;6.5;11.3;1.8;36;74
555;Paris;1959;3;9.7;15.4;4.1;47;108
556;Paris;1959;4;12.2;17.8;7.7;53;159
557;Paris;1959;5;16.5;23.0;11.4;72;204
558;Paris;1959;6;18.1;23.4;13.1;52;205
559;Paris;1959;7;21.2;26.0;16.7;79;192
560;Paris;1959;8;21.5;27.3;17.0;59;175
561;Paris;1959;9;18.1;24.3;13.9;49;173
562;Paris;1959;10;12.0;17.1;7.4;47;116
563;Paris;1959;11;9.1;14.2;4.9;66;61
564;Paris;1959;12;5.4;10.7;0.8;51;52
565;Nantes;1959;1;5.8;11.2;-0.2;77;68
566;Nantes;1959;2;6.2;11.5;0.8;75;103
567;Nantes;1959;3;8.9;14.6;4.8;78;166
568;Nantes;1959;4;12.6;18.8;7.7;65;180
569;Nantes;1959;5;15.0;20.4;10.4;44;193
570;Nantes;1959;6;16.8;22.2;11.9;43;249
571;Nantes;1959;7;20.2;25.5;15.5;41;201
572;Nantes;1959;8;22.6;28.9;17.8;43;219
573;Nantes;1959;9;18.2;23.0;12.9;45;192
574;Nantes;1959;10;14.4;19.4;10.2;65;120
575;Nantes;1959;11;9.2;14.1;4.9;101;77
576;Nantes;1959;12;6.8;12.0;2.3;72;59
577;Bordeaux;1959;1;7.6;13.4;3.2;61;72
578;Bordeaux;1959;2;8.2;13.0;3.6;70;91
579;Bordeaux;1959;3;9.5;15.6;4.4;63;170
580;Bordeaux;1959;4;12.6;17.6;7.4;87;148
581;Bordeaux;1959;5;17.8;22.5;12.8;89;234
582;Bordeaux;1959;6;20.0;25.2;15.0;57;197
583;Bordeaux;1959;7;23.2;28.0;17.5;57;294
584;Bordeaux;1959;8;21.6;26.6;16.8;51;278
585;Bordeaux;1959;9;19.3;24.9;14.0;67;184
586;Bordeaux;1959;10;14.4;20.7;8.9;107;149
587;Bordeaux;1959;11;9.6;16.1;4.6;67;80
588;Bordeaux;1959;12;7.0;13.2;1.2;92;57
589;Marseille;1959;1;9.3;15.1;3.7;54;166
590;Marseille;1959;2;10.9;16.8;5.5;34;156
591;Marseille;1959;3;11.7;17.8;7.4;46;179
592;Marseille;1959;4;15.4;20.5;10.5;31;247
593;Marseille;1959;5;19.2;24.9;13.5;31;279
594;Marseille;1959;6;23.7;29.2;18.1;15;271
595;Marseille;1959;7;26.7;32.3;22.4;5;338
596;Marseille;1959;8;26.4;32.8;22.1;18;367
597;Marseille;1959;9;21.0;27.5;15.7;40;239
598;Marseille;1959;10;17.7;23.5;13.1;56;190
599;Marseille;1959;11;11.0;16.7;5.9;72;110
600;Marseille;1959;12;8.9;15.3;4.8;50;116
601;Lille;1960;1;3.5;9.8;-0.8;60;45
602;Lille;1960;2;5.3;11.5;0.5;34;68
603;Lille;1960;3;8.1;14.0;2.2;38;92
604;Lille;1960;4;11.2;17.5;6.8;46;160
605;Lille;1960;5;14.0;19.4;9.0;62;190
606;Lille;1960;6;16.9;21.7;11.5;54;150
607;Lille;1960;7;19.2;24.2;14.2;62;201
608;Lille;1960;8;19.1;24.7;14.4;51;208
609;Lille;1960;9;16.1;22.3;11.0;50;142
610;Lille;1960;10;12.2;17.8;6.5;69;73
611;Lille;1960;11;7.7;13.1;1.8;58;41
612;Lille;1960;12;4.9;9.5;-0.3;48;43
613;Paris;1960;1;6.3;11.2;0.5;50;72
614;Paris;1960;2;5.4;10.9;0.4;52;82
615;Paris;1960;3;9.8;15.1;4.4;47;120
616;Paris;1960;4;12.6;18.8;6.7;56;188
617;Paris;1960;5;16.9;21.8;12.3;51;176
618;Paris;1960;6;19.7;26.1;14.8;56;240
619;Paris;1960;7;20.7;26.8;16.3;68;216
620;Paris;1960;8;21.7;26.8;17.3;64;219
621;Paris;1960;9;18.1;22.9;13.1;69;189
622;Paris;1960;10;12.3;17.9;6.7;73;118
623;Paris;1960;11;8.1;13.0;4.1;38;51
624;Paris;1960;12;5.6;11.2;0.7;44;52
625;Nantes;1960;1;5.9;10.7;0.2;80;79
626;Nantes;1960;2;8.0;14.1;3.0;62;93
627;Nantes;1960;3;9.4;14.9;4.5;60;168
628;Nantes;1960;4;11.4;17.1;7.1;43;203
629;Nantes;1960;5;15.4;20.7;10.7;45;205
630;Nantes;1960;6;18.4;23.6;12.6;57;208
631;Nantes;1960;7;21.8;27.9;17.5;51;213
632;Nantes;1960;8;20.2;25.6;14.3;53;186
633;Nantes;1960;9;17.9;24.3;12.9;72;172
634;Nantes;1960;10;13.0;17.8;7.8;87;116
635;Nantes;1960;11;9.1;14.8;4.3;93;71
636;Nantes;1960;12;8.2;13.9;2.8;102;59
637;Bordeaux;1960;1;6.3;12.6;1.1;85;73
638;Bordeaux;1960;2;8.1;13.7;3.4;49;96
639;Bordeaux;1960;3;9.9;15.8;4.6;84;177
640;Bordeaux;1960;4;12.5;18.4;7.8;87;149
641;Bordeaux;1960;5;16.9;22.7;12.8;65;219
642;Bordeaux;1960;6;20.1;26.1;14.3;65;199
643;Bordeaux;1960;7;23.3;28.2;18.6;41;222
644;Bordeaux;1960;8;22.1;27.8;17.3;48;200
645;Bordeaux;1960;9;17.9;23.7;13.8;78;169
646;Bordeaux;1960;10;14.9;19.7;10.8;74;146
647;Bordeaux;1960;11;8.9;14.1;3.7;101;93
648;Bordeaux;1960;12;7.6;12.3;2.3;78;58
649;Marseille;1960;1;9.0;14.4;4.9;51;126
650;Marseille;1960;2;9.8;14.4;5.7;43;187
651;Marseille;1960;3;11.2;16.8;6.1;33;231
652;Marseille;1960;4;13.9;20.4;9.9;34;215
653;Marseille;1960;5;18.7;24.8;13.9;29;329
654;Marseille;1960;6;25.3;30.1;20.8;13;309
655;Marseille;1960;7;25.8;31.3;21.6;7;379
656;Marseille;1960;8;26.6;32.5;22.5;18;399
657;Marseille;1960;9;23.3;29.0;17.6;46;233
658;Marseille;1960;10;18.0;23.7;12.7;64;178
659;Marseille;1960;11;11.4;16.1;7.3;64;142
660;Marseille;1960;12;9.7;15.4;5.3;65;132
661;Lille;1961;1;5.1;11.1;0.3;43;43
662;Lille;1961;2;4.7;9.3;0.4;41;55
663;Lille;1961;3;8.0;14.4;2.8;34;104
664;Lille;1961;4;10.6;16.4;4.9;55;136
665;Lille;1961;5;15.4;20.0;9.5;64;176
666;Lille;1961;6;16.9;22.8;12.2;42;164
667;Lille;1961;7;19.9;25.6;15.7;82;164
668;Lille;1961;8;19.3;24.0;14.6;44;194
669;Lille;1961;9;15.5;21.8;9.8;68;160
670;Lille;1961;10;10.3;15.0;4.8;50;104
671;Lille;1961;11;6.4;12.4;1.3;52;57
672;Lille;1961;12;3.9;8.7;-1.7;61;35
673;Paris;1961;1;5.6;10.5;1.1;40;72
674;Paris;1961;2;5.9;10.5;1.8;55;79
675;Paris;1961;3;9.6;14.3;5.1;62;125
676;Paris;1961;4;12.0;17.9;8.0;38;172
677;Paris;1961;5;16.5;23.0;10.8;44;163
678;Paris;1961;6;19.5;25.4;13.8;48;188
679;Paris;1961;7;21.7;27.1;16.2;60;203
680;Paris;1961;8;23.0;29.0;18.0;60;246
681;Paris;1961;9;16.9;22.8;11.3;55;155
682;Paris;1961;10;12.4;17.4;6.6;52;91
683;Paris;1961;11;8.1;13.1;3.9;62;68
684;Paris;1961;12;6.3;12.0;0.3;63;50
685;Nantes;1961;1;5.8;12.2;1.6;106;64
686;Nantes;1961;2;7.7;13.8;3.2;73;80
687;Nantes;1961;3;8.7;14.3;4.0;64;118
688;Nantes;1961;4;12.3;16.9;7.7;47;200
689;Nantes;1961;5;14.3;19.3;8.9;43;185
690;Nantes;1961;6;19.8;24.8;15.7;56;232
691;Nantes;1961;7;22.5;28.4;17.9;47;224
692;Nantes;1961;8;20.7;26.3;14.9;43;178
693;Nantes;1961;9;16.9;22.3;11.9;47;181
694;Nantes;1961;10;14.2;18.8;10.0;100;131
695;Nantes;1961;11;9.7;15.4;4.9;80;74
696;Nantes;1961;12;8.1;12.7;3.3;73;69
697;Bordeaux;1961;1;7.7;12.2;3.5;70;79
698;Bordeaux;1961;2;8.4;14.0;4.0;60;98
699;Bordeaux;1961;3;12.0;17.7;6.5;49;139
700;Bordeaux;1961;4;13.2;19.3;8.3;60;201
701;Bordeaux;1961;5;16.8;21.8;11.5;60;238
702;Bordeaux;1961;6;20.8;25.9;16.0;68;258
703;Bordeaux;1961;7;22.0;27.4;17.7;42;302
704;Bordeaux;1961;8;23.0;29.4;17.9;65;271
705;Bordeaux;1961;9;20.5;26.8;15.7;68;155
706;Bordeaux;1961;10;15.4;21.7;10.7;82;116
707;Bordeaux;1961;11;9.2;15.0;4.5;82;87
708;Bordeaux;1961;12;6.7;11.4;2.3;106;68
709;Marseille;1961;1;9.8;15.5;4.9;41;134
710;Marseille;1961;2;10.0;16.0;5.4;48;183
711;Marseille;1961;3;12.9;18.7;7.2;38;186
712;Marseille;1961;4;14.2;20.2;9.7;30;226
713;Marseille;1961;5;18.0;23.1;13.4;21;318
714;Marseille;1961;6;22.3;27.7;17.6;14;286
715;Marseille;1961;7;26.3;31.5;21.1;5;420
716;Marseille;1961;8;25.5;30.9;21.1;16;311
717;Marseille;1961;9;22.2;27.0;16.7;44;284
718;Marseille;1961;10;16.5;22.1;12.1;84;171
719;Marseille;1961;11;11.5;17.3;5.8;49;153
720;Marseille;1961;12;8.1;13.5;2.2;50;115
721;Lille;1962;1;3.1;8.1;-2.1;38;57
722;Lille;1962;2;3.2;8.0;-1.6;46;58
723;Lille;1962;3;7.3;12.0;1.4;33;106
724;Lille;1962;4;11.1;15.8;6.9;34;162
725;Lille;1962;5;14.7;20.3;10.1;49;206
726;Lille;1962;6;17.5;23.2;12.8;51;205
727;Lille;1962;7;18.2;24.1;13.7;79;175
728;Lille;1962;8;18.8;24.6;12.9;68;182
729;Lille;1962;9;16.0;21.4;11.2;67;146
730;Lille;1962;10;12.2;16.9;7.0;79;92
731;Lille;1962;11;6.0;12.4;0.8;66;57
732;Lille;1962;12;4.0;8.5;-1.8;71;44
733;Paris;1962;1;5.7;10.7;1.6;61;58
734;Paris;1962;2;6.8;12.9;1.1;49;85
735;Paris;1962;3;9.7;15.2;4.5;62;127
736;Paris;1962;4;12.3;18.5;6.9;44;182
737;Paris;1962;5;16.4;21.7;11.3;62;222
738;Paris;1962;6;18.4;24.6;14.2;68;234
739;Paris;1962;7;21.6;27.1;17.1;52;230
740;Paris;1962;8;19.7;25.7;15.5;67;203
741;Paris;1962;9;18.0;22.9;13.5;45;171
742;Paris;1962;10;12.9;18.4;7.8;73;118
743;Paris;1962;11;7.0;12.8;1.5;62;71
744;Paris;1962;12;5.1;9.8;0.5;49;40
745;Nantes;1962;1;6.6;11.1;1.0;72;86
746;Nantes;1962;2;6.5;12.9;1.8;52;84
747;Nantes;1962;3;9.7;15.3;4.4;61;143
748;Nantes;1962;4;12.5;18.5;8.1;40;195
749;Nantes;1962;5;15.4;20.6;11.1;57;178
750;Nantes;1962;6;18.5;24.3;13.4;58;199
751;Nantes;1962;7;20.8;26.3;15.0;31;200
752;Nantes;1962;8;21.1;26.8;17.0;42;229
753;Nantes;1962;9;17.4;22.7;11.7;72;170
754;Nantes;1962;10;14.2;19.7;9.5;84;121
755;Nantes;1962;11;9.5;14.2;4.8;88;61
756;Nantes;1962;12;7.9;12.4;2.0;73;77
757;Bordeaux;1962;1;7.4;12.7;1.5;73;92
758;Bordeaux;1962;2;8.1;13.1;4.0;77;90
759;Bordeaux;1962;3;12.0;16.7;7.2;73;129
760;Bordeaux;1962;4;13.2;19.2;8.3;56;192
761;Bordeaux;1962;5;16.3;21.3;11.3;79;173
762;Bordeaux;1962;6;21.7;27.3;17.1;45;274
763;Bordeaux;1962;7;24.2;29.5;19.5;51;315
764;Bordeaux;1962;8;22.0;28.1;16.7;67;267
765;Bordeaux;1962;9;18.4;24.7;14.1;89;214
766;Bordeaux;1962;10;15.2;20.5;9.5;93;121
767;Bordeaux;1962;11;9.7;14.6;4.2;72;69
768;Bordeaux;1962;12;6.6;12.7;1.5;88;80
769;Marseille;1962;1;9.4;15.4;4.6;58;178
770;Marseille;1962;2;9.6;15.0;4.9;42;163
771;Marseille;1962;3;12.8;17.9;7.1;31;167
772;Marseille;1962;4;15.1;20.4;9.5;31;256
773;Marseille;1962;5;18.3;24.7;13.9;36;288
774;Marseille;1962;6;22.6;27.6;16.9;17;289
775;Marseille;1962;7;26.2;31.2;21.3;5;321
776;Marseille;1962;8;26.6;31.2;20.7;18;296
777;Marseille;1962;9;21.5;26.1;15.9;59;269
778;Marseille;1962;10;17.6;22.3;13.1;53;191
779;Marseille;1962;11;13.5;19.0;7.7;56;108
780;Marseille;1962;12;9.8;14.7;4.8;58;114
781;Lille;1963;1;2.4;6.9;-1.9;66;53
782;Lille;1963;2;4.6;9.9;-0.3;39;70
783;Lille;1963;3;8.5;13.9;4.5;56;107
784;Lille;1963;4;10.7;16.6;5.3;31;162
785;Lille;1963;5;14.3;19.6;9.2;38;203
786;Lille;1963;6;17.9;23.3;13.8;65;212
787;Lille;1963;7;20.1;26.1;14.2;75;198
788;Lille;1963;8;19.6;24.1;14.1;46;180
789;Lille;1963;9;15.5;21.1;11.1;69;149
790;Lille;1963;10;12.7;17.2;7.0;64;103
791;Lille;1963;11;6.3;11.8;2.2;61;50
792;Lille;1963;12;3.9;8.9;-0.6;64;42
793;Paris;1963;1;5.6;11.9;1.1;65;73
794;Paris;1963;2;6.1;11.1;1.0;39;78
795;Paris;1963;3;8.8;14.3;4.2;45;102
796;Paris;1963;4;11.9;16.5;7.5;62;169
797;Paris;1963;5;16.3;21.8;10.4;66;169
798;Paris;1963;6;19.3;25.3;15.1;65;168
799;Paris;1963;7;21.3;26.5;15.4;58;232
800;Paris;1963;8;21.6;26.3;17.6;65;196
801;Paris;1963;9;17.4;23.9;12.7;69;132
802;Paris;1963;10;12.8;18.9;8.3;61;102
803;Paris;1963;11;7.7;13.9;2.4;64;59
804;Paris;1963;12;4.6;9.7;-0.5;72;53
805;Nantes;1963;1;7.5;13.0;1.7;80;87
806;Nantes;1963;2;6.7;11.8;1.0;57;89
807;Nantes;1963;3;9.3;15.6;3.5;73;152
808;Nantes;1963;4;12.5;17.1;8.5;51;153
809;Nantes;1963;5;16.1;20.8;12.1;69;194
810;Nantes;1963;6;19.9;25.1;15.0;34;239
811;Nantes;1963;7;20.3;26.3;15.0;49;228
812;Nantes;1963;8;21.8;26.8;16.0;36;209
813;Nantes;1963;9;17.0;22.5;11.4;57;162
814;Nantes;1963;10;12.7;18.7;8.7;73;130
815;Nantes;1963;11;8.9;14.9;4.0;107;70
816;Nantes;1963;12;6.4;11.3;0.5;106;71
817;Bordeaux;1963;1;7.3;12.4;2.9;82;88
818;Bordeaux;1963;2;7.1;13.1;1.4;76;100
819;Bordeaux;1963;3;11.3;17.0;7.1;50;119
820;Bordeaux;1963;4;13.6;19.5;8.4;85;176
821;Bordeaux;1963;5;16.9;21.6;11.2;67;209
822;Bordeaux;1963;6;19.9;25.2;14.9;45;201
823;Bordeaux;1963;7;23.5;29.4;18.7;39;263
824;Bordeaux;1963;8;22.3;27.1;17.2;69;209
825;Bordeaux;1963;9;19.0;25.2;14.5;69;211
826;Bordeaux;1963;10;14.0;19.5;9.6;109;125
827;Bordeaux;1963;11;10.1;15.0;5.9;103;84
828;Bordeaux;1963;12;8.2;13.3;2.8;111;65
829;Marseille;1963;1;7.9;13.0;3.4;59;132
830;Marseille;1963;2;10.7;15.7;6.5;36;127
831;Marseille;1963;3;12.8;17.8;7.1;30;180
832;Marseille;1963;4;15.2;19.7;9.6;41;204
833;Marseille;1963;5;18.4;23.3;13.5;35;277
834;Marseille;1963;6;23.4;29.6;18.8;22;352
835;Marseille;1963;7;26.6;31.8;21.5;4;333
836;Marseille;1963;8;26.4;32.8;21.5;16;319
837;Marseille;1963;9;22.2;28.3;16.9;44;220
838;Marseille;1963;10;16.8;22.8;12.0;61;152
839;Marseille;1963;11;12.0;17.1;6.2;55;141
840;Marseille;1963;12;9.3;15.4;5.1;61;109
841;Lille;1964;1;2.6;7.6;-2.7;40;55
842;Lille;1964;2;4.2;8.8;-0.1;50;71
843;Lille;1964;3;7.7;13.0;1.9;33;111
844;Lille;1964;4;9.8;14.7;4.8;46;150
845;Lille;1964;5;14.4;19.1;9.7;59;164
846;Lille;1964;6;18.0;24.1;12.4;68;162
847;Lille;1964;7;19.9;25.9;14.2;50;171
848;Lille;1964;8;20.2;26.5;15.7;63;155
849;Lille;1964;9;16.4;21.6;10.7;67;123
850;Lille;1964;10;11.6;17.8;6.1;52;103
851;Lille;1964;11;7.1;12.8;2.0;45;58
852;Lille;1964;12;4.7;9.7;-0.7;59;43
853;Paris;1964;1;6.3;12.0;0.9;38;52
854;Paris;1964;2;4.8;10.4;0.4;38;90
855;Paris;1964;3;8.7;14.2;4.2;49;103
856;Paris;1964;4;11.3;17.7;7.2;63;168
857;Paris;1964;5;16.3;22.8;12.0;68;186
858;Paris;1964;6;19.3;25.7;14.1;47;218
859;Paris;1964;7;19.9;25.1;13.9;74;210
860;Paris;1964;8;20.7;26.1;15.7;44;227
861;Paris;1964;9;17.1;23.1;11.4;63;138
862;Paris;1964;10;13.6;18.7;7.7;49;98
863;Paris;1964;11;7.7;13.6;2.4;39;70
864;Paris;1964;12;5.2;10.2;0.9;66;53
865;Nantes;1964;1;5.4;10.2;-0.3;96;81
866;Nantes;1964;2;7.2;13.4;1.4;76;106
867;Nantes;1964;3;10.4;16.1;4.8;49;149
868;Nantes;1964;4;12.4;17.2;8.3;47;205
869;Nantes;1964;5;15.3;20.1;10.4;69;186
870;Nantes;1964;6;19.3;24.4;14.7;37;222
871;Nantes;1964;7;19.9;24.6;14.3;40;209
872;Nantes;1964;8;22.0;26.9;16.9;35;261
873;Nantes;1964;9;17.0;23.3;12.5;59;185
874;Nantes;1964;10;12.9;18.9;7.9;78;104
875;Nantes;1964;11;8.3;14.4;2.6;91;83
876;Nantes;1964;12;5.4;11.3;0.2;87;53
877;Bordeaux;1964;1;7.8;12.8;3.6;86;80
878;Bordeaux;1964;2;6.8;12.8;1.6;81;98
879;Bordeaux;1964;3;10.1;15.4;5.6;65;168
880;Bordeaux;1964;4;12.3;16.8;8.1;86;192
881;Bordeaux;1964;5;16.9;21.7;12.1;79;167
882;Bordeaux;1964;6;20.7;25.2;14.8;64;268
883;Bordeaux;1964;7;20.9;26.1;15.9;40;310
884;Bordeaux;1964;8;22.8;28.1;18.3;56;248
885;Bordeaux;1964;9;19.2;24.0;13.8;56;221
886;Bordeaux;1964;10;15.3;21.7;9.5;74;126
887;Bordeaux;1964;11;9.6;15.0;5.4;64;67
888;Bordeaux;1964;12;8.2;14.4;2.4;64;56
889;Marseille;1964;1;8.7;13.6;3.4;43;161
890;Marseille;1964;2;10.5;15.0;4.8;31;186
891;Marseille;1964;3;13.5;19.2;9.3;44;184
892;Marseille;1964;4;15.9;20.5;10.2;31;204
893;Marseille;1964;5;18.3;24.8;13.0;35;242
894;Marseille;1964;6;23.3;29.2;18.2;18;271
895;Marseille;1964;7;25.9;30.9;19.9;5;437
896;Marseille;1964;8;25.6;30.9;19.7;12;321
897;Marseille;1964;9;22.8;28.0;17.8;60;246
898;Marseille;1964;10;17.9;23.7;13.3;58;177
899;Marseille;1964;11;12.8;17.6;7.4;69;110
900;Marseille;1964;12;10.5;16.1;6.0;43;148
901;Lille;1965;1;2.5;8.8;-1.8;43;55
902;Lille;1965;2;3.9;8.4;-1.6;38;63
903;Lille;1965;3;6.7;11.8;1.9;32;96
904;Lille;1965;4;11.1;17.5;6.4;43;148
905;Lille;1965;5;15.5;21.9;10.0;64;154
906;Lille;1965;6;18.4;23.4;13.1;45;165
907;Lille;1965;7;19.7;24.4;15.6;53;155
908;Lille;1965;8;19.0;24.8;14.1;73;142
909;Lille;1965;9;15.4;21.0;11.0;63;122
910;Lille;1965;10;9.8;14.8;5.7;63;96
911;Lille;1965;11;6.6;11.8;2.6;42;44
912;Lille;1965;12;2.5;7.2;-2.5;64;39
913;Paris;1965;1;6.0;12.5;1.7;67;62
914;Paris;1965;2;5.5;11.4;-0.4;40;71
915;Paris;1965;3;8.3;14.0;2.3;58;117
916;Paris;1965;4;10.4;15.9;5.6;63;145
917;Paris;1965;5;15.6;20.1;11.1;66;169
918;Paris;1965;6;19.8;24.6;14.1;49;187
919;Paris;1965;7;21.7;26.4;16.6;72;198
920;Paris;1965;8;21.1;27.6;16.4;54;177
921;Paris;1965;9;17.3;22.2;11.3;40;149
922;Paris;1965;10;13.2;19.2;8.8;77;127
923;Paris;1965;11;9.9;14.7;5.6;51;53
924;Paris;1965;12;5.3;11.7;-0.3;72;41
925;Nantes;1965;1;5.9;10.9;1.2;95;68
926;Nantes;1965;2;7.1;13.5;2.6;83;95
927;Nantes;1965;3;9.7;14.8;5.1;43;139
928;Nantes;1965;4;12.0;18.5;6.3;46;174
929;Nantes;1965;5;16.6;22.6;11.8;48;185
930;Nantes;1965;6;18.7;24.9;13.2;47;206
931;Nantes;1965;7;20.6;25.1;16.1;33;205
932;Nantes;1965;8;21.3;27.7;17.0;40;192
933;Nantes;1965;9;18.2;24.6;12.2;76;148
934;Nantes;1965;10;13.5;19.3;8.9;64;94
935;Nantes;1965;11;8.9;14.9;3.4;89;86
936;Nantes;1965;12;6.8;11.8;2.3;75;74
937;Bordeaux;1965;1;8.4;14.4;4.1;76;78
938;Bordeaux;1965;2;6.4;11.2;2.2;88;94
939;Bordeaux;1965;3;10.8;16.9;6.3;60;129
940;Bordeaux;1965;4;13.0;17.9;8.1;57;154
941;Bordeaux;1965;5;16.9;23.2;12.0;90;224
942;Bordeaux;1965;6;20.5;26.6;15.9;58;199
943;Bordeaux;1965;7;23.1;29.2;18.6;49;270
944;Bordeaux;1965;8;23.0;29.4;18.2;69;225
945;Bordeaux;1965;9;18.8;24.8;13.3;57;221
946;Bordeaux;1965;10;14.3;19.4;9.9;81;143
947;Bordeaux;1965;11;9.0;14.8;4.5;62;72
948;Bordeaux;1965;12;8.0;14.2;2.9;89;80
949;Marseille;1965;1;9.6;14.3;4.5;49;136
950;Marseille;1965;2;9.1;14.0;3.1;27;175
951;Marseille;1965;3;13.2;19.4;8.0;32;214
952;Marseille;1965;4;15.3;19.9;11.1;33;239
953;Marseille;1965;5;20.0;24.5;15.2;25;307
954;Marseille;1965;6;23.8;28.4;17.8;18;269
955;Marseille;1965;7;26.5;32.1;21.5;6;315
956;Marseille;1965;8;26.1;32.3;20.3;19;345
957;Marseille;1965;9;22.8;28.3;18.3;50;289
958;Marseille;1965;10;16.5;21.6;11.1;81;153
959;Marseille;1965;11;12.7;18.2;7.9;75;154
960;Marseille;1965;12;9.7;14.6;4.5;62;121
961;Lille;1966;1;3.7;9.8;-0.5;39;45
962;Lille;1966;2;4.2;8.8;-0.8;49;55
963;Lille;1966;3;6.5;12.0;1.3;54;122
964;Lille;1966;4;11.0;15.6;6.5;55;150
965;Lille;1966;5;15.2;20.8;9.7;69;170
966;Lille;1966;6;17.5;23.7;12.4;59;192
967;Lille;1966;7;19.3;23.9;15.2;69;170
968;Lille;1966;8;18.5;23.7;14.2;52;198
969;Lille;1966;9;16.8;22.0;11.2;65;125
970;Lille;1966;10;11.5;16.8;5.7;47;92
971;Lille;1966;11;6.5;12.1;1.6;73;56
972;Lille;1966;12;4.4;9.9;-1.0;44;33
973;Paris;1966;1;6.7;12.8;1.8;39;66
974;Paris;1966;2;5.6;11.6;0.4;38;88
975;Paris;1966;3;8.6;13.7;3.8;58;106
976;Paris;1966;4;12.5;17.3;6.9;63;190
977;Paris;1966;5;15.4;21.0;10.3;53;226
978;Paris;1966;6;18.8;23.4;13.5;56;226
979;Paris;1966;7;20.8;26.5;15.8;55;227
980;Paris;1966;8;22.2;28.6;17.0;65;168
981;Paris;1966;9;17.0;21.8;12.1;64;193
982;Paris;1966;10;13.8;19.6;8.8;51;111
983;Paris;1966;11;9.4;14.2;5.0;44;69
984;Paris;1966;12;5.6;11.2;1.5;73;54
985;Nantes;1966;1;6.8;11.9;2.6;79;65
986;Nantes;1966;2;6.5;12.9;2.0;54;78
987;Nantes;1966;3;9.8;16.0;4.3;73;162
988;Nantes;1966;4;11.7;17.4;6.9;63;183
989;Nantes;1966;5;15.5;20.3;10.6;55;231
990;Nantes;1966;6;19.8;25.2;15.5;47;226
991;Nantes;1966;7;21.6;27.5;17.6;46;237
992;Nantes;1966;8;22.1;26.6;16.2;45;185
